"","terms","count","probability"
"194","hard",69,0.000793559516963772
"195","name",69,0.000793559516963772
"196","second",69,0.000793559516963772
"197","friday",68,0.00078205865439908
"198","interest",68,0.00078205865439908
"199","pay",68,0.00078205865439908
"200","share",68,0.00078205865439908
"201","ago",67,0.000770557791834388
"202","girl",67,0.000770557791834388
"203","manag",67,0.000770557791834388
"204","nation",67,0.000770557791834388
"205","past",67,0.000770557791834388
"206","though",67,0.000770557791834388
"207","yes",67,0.000770557791834388
"208","polic",66,0.000759056929269695
"209","line",65,0.000747556066705003
"210","miss",65,0.000747556066705003
"211","record",65,0.000747556066705003
"212","student",65,0.000747556066705003
"213","anyth",64,0.000736055204140311
"214","buy",64,0.000736055204140311
"215","close",64,0.000736055204140311
"216","kind",64,0.000736055204140311
"217","least",64,0.000736055204140311
"218","player",64,0.000736055204140311
"219","support",64,0.000736055204140311
"220","area",63,0.000724554341575618
"221","build",63,0.000724554341575618
"222","creat",63,0.000724554341575618
"223","import",63,0.000724554341575618
"224","lead",63,0.000724554341575618
"225","must",63,0.000724554341575618
"226","offer",63,0.000724554341575618
"227","power",63,0.000724554341575618
"228","problem",63,0.000724554341575618
"229","real",63,0.000724554341575618
"230","reason",63,0.000724554341575618
"231","stop",63,0.000724554341575618
"232","accord",62,0.000713053479010926
"233","care",62,0.000713053479010926
"234","done",62,0.000713053479010926
"235","four",62,0.000713053479010926
"236","hes",62,0.000713053479010926
"237","list",62,0.000713053479010926
"238","receiv",62,0.000713053479010926
"239","young",62,0.000713053479010926
"240","class",61,0.000701552616446234
"241","court",61,0.000701552616446234
"242","earli",61,0.000701552616446234
"243","howev",61,0.000701552616446234
"244","onc",61,0.000701552616446234
"245","parent",61,0.000701552616446234
"246","someon",61,0.000701552616446234
"247","stay",61,0.000701552616446234
"248","wonder",61,0.000701552616446234
"249","alreadi",60,0.000690051753881541
"250","american",60,0.000690051753881541
"251","design",60,0.000690051753881541
"252","everyth",60,0.000690051753881541
"253","hit",60,0.000690051753881541
"254","issu",60,0.000690051753881541
"255","less",60,0.000690051753881541
"256","morn",60,0.000690051753881541
"257","yet",60,0.000690051753881541
"258","along",59,0.000678550891316849
"259","center",59,0.000678550891316849
"260","coupl",59,0.000678550891316849
"261","event",59,0.000678550891316849
"262","idea",59,0.000678550891316849
"263","ill",59,0.000678550891316849
"264","project",59,0.000678550891316849
"265","took",59,0.000678550891316849
"266","win",59,0.000678550891316849
"267","abl",58,0.000667050028752156
"268","car",58,0.000667050028752156
"269","market",58,0.000667050028752156
"270","money",58,0.000667050028752156
"271","often",58,0.000667050028752156
"272","park",58,0.000667050028752156
